,PASSING,RUSHING,MISC,position,player_name,week,RECEIVING,Player,FG,FGA,XPT,FPTS,SACK,INT,FR,FF,TD,SAFETY,PA,YDS AGN
Jayden Daniels WAS,31.3,21.3,235.9,QB,Jayden Daniels WAS,7,,,,,,,,,,,,,,
Patrick Mahomes II KC,34.8,23.5,244.5,QB,Patrick Mahomes II KC,7,,,,,,,,,,,,,,
Dak Prescott DAL,37.5,25.9,280.0,QB,Dak Prescott DAL,7,,,,,,,,,,,,,,
Drake Maye NE,30.7,21.9,236.8,QB,Drake Maye NE,7,,,,,,,,,,,,,,
Jalen Hurts PHI,29.3,19.9,209.0,QB,Jalen Hurts PHI,7,,,,,,,,,,,,,,
Baker Mayfield TB,32.7,22.0,253.6,QB,Baker Mayfield TB,7,,,,,,,,,,,,,,
Justin Herbert LAC,34.5,23.4,254.4,QB,Justin Herbert LAC,7,,,,,,,,,,,,,,
Caleb Williams CHI,31.3,19.9,226.1,QB,Caleb Williams CHI,7,,,,,,,,,,,,,,
Jared Goff DET,32.8,24.1,264.2,QB,Jared Goff DET,7,,,,,,,,,,,,,,
Justin Fields NYJ,27.3,17.7,181.4,QB,Justin Fields NYJ,7,,,,,,,,,,,,,,
Daniel Jones IND,31.1,20.8,225.8,QB,Daniel Jones IND,7,,,,,,,,,,,,,,
Bo Nix DEN,33.2,22.2,221.8,QB,Bo Nix DEN,7,,,,,,,,,,,,,,
Jordan Love GB,30.7,20.2,240.7,QB,Jordan Love GB,7,,,,,,,,,,,,,,
Aaron Rodgers PIT,30.6,20.5,223.2,QB,Aaron Rodgers PIT,7,,,,,,,,,,,,,,
Matthew Stafford LAR,33.4,21.6,258.5,QB,Matthew Stafford LAR,7,,,,,,,,,,,,,,
Mac Jones SF,35.6,23.0,245.6,QB,Mac Jones SF,7,,,,,,,,,,,,,,
Kyler Murray ARI,29.5,20.1,183.8,QB,Kyler Murray ARI,7,,,,,,,,,,,,,,
C.J. Stroud HOU,32.2,21.4,227.9,QB,C.J. Stroud HOU,7,,,,,,,,,,,,,,
Sam Darnold SEA,29.9,20.1,242.3,QB,Sam Darnold SEA,7,,,,,,,,,,,,,,
Michael Penix Jr. ATL,32.4,20.3,232.6,QB,Michael Penix Jr. ATL,7,,,,,,,,,,,,,,
Spencer Rattler NO,32.9,21.7,213.2,QB,Spencer Rattler NO,7,,,,,,,,,,,,,,
Trevor Lawrence JAC,32.7,20.3,218.3,QB,Trevor Lawrence JAC,7,,,,,,,,,,,,,,
Carson Wentz MIN,32.3,20.7,215.8,QB,Carson Wentz MIN,7,,,,,,,,,,,,,,
Jaxson Dart NYG,29.5,18.3,182.4,QB,Jaxson Dart NYG,7,,,,,,,,,,,,,,
Bryce Young CAR,31.9,19.6,194.0,QB,Bryce Young CAR,7,,,,,,,,,,,,,,
Geno Smith LV,31.4,21.1,218.6,QB,Geno Smith LV,7,,,,,,,,,,,,,,
Dillon Gabriel CLE,31.9,19.8,190.9,QB,Dillon Gabriel CLE,7,,,,,,,,,,,,,,
Joe Flacco CIN,34.2,21.8,219.4,QB,Joe Flacco CIN,7,,,,,,,,,,,,,,
Tua Tagovailoa MIA,28.8,19.6,197.1,QB,Tua Tagovailoa MIA,7,,,,,,,,,,,,,,
Cam Ward TEN,31.9,19.3,204.1,QB,Cam Ward TEN,7,,,,,,,,,,,,,,
Jacoby Brissett ARI,16.1,10.0,105.8,QB,Jacoby Brissett ARI,7,,,,,,,,,,,,,,
Tyrod Taylor NYJ,1.5,1.0,9.9,QB,Tyrod Taylor NYJ,7,,,,,,,,,,,,,,
Adrian Martinez SF,1.0,0.7,7.7,QB,Adrian Martinez SF,7,,,,,,,,,,,,,,
Joe Milton III DAL,0.8,0.6,6.0,QB,Joe Milton III DAL,7,,,,,,,,,,,,,,
Marcus Mariota WAS,0.6,0.5,5.3,QB,Marcus Mariota WAS,7,,,,,,,,,,,,,,
Tyler Shough NO,0.9,0.6,5.6,QB,Tyler Shough NO,7,,,,,,,,,,,,,,
Gardner Minshew II KC,0.7,0.5,5.2,QB,Gardner Minshew II KC,7,,,,,,,,,,,,,,
Jarrett Stidham DEN,0.7,0.5,4.5,QB,Jarrett Stidham DEN,7,,,,,,,,,,,,,,
Mason Rudolph PIT,0.6,0.4,4.9,QB,Mason Rudolph PIT,7,,,,,,,,,,,,,,
Tyson Bagent CHI,0.6,0.4,4.6,QB,Tyson Bagent CHI,7,,,,,,,,,,,,,,
